YEAR,STATE,FISHERY,MONTH,DATE,SITE,SPECIES,CLIP,CLIPPED,LEN
2014,WI,Warm-Open,May,2014-05-23,905,Walleye,00: NONE,No Clip,18.2
2014,WI,Warm-Open,May,2014-05-23,905,Walleye,00: NONE,No Clip,15.6
2014,WI,Warm-Open,May,2014-05-24,903,Walleye,00: NONE,No Clip,17
2014,WI,Warm-Open,May,2014-05-24,903,Walleye,00: NONE,No Clip,17.8
2014,WI,Warm-Open,May,2014-05-24,903,Walleye,00: NONE,No Clip,21.5
2014,WI,Warm-Open,May,2014-05-24,903,Walleye,00: NONE,No Clip,24
2014,WI,Warm-Open,May,2014-05-24,903,Walleye,00: NONE,No Clip,23.5
2014,WI/MN,Warm-Open,May,2014-05-25,903,Walleye,00: NONE,No Clip,29
2014,WI,Warm-Open,May,2014-05-25,903,Walleye,00: NONE,No Clip,16.5
2014,WI,Warm-Open,May,2014-05-25,903,Walleye,00: NONE,No Clip,22.5
2014,WI,Warm-Open,May,2014-05-26,903,Walleye,00: NONE,No Clip,18
2014,WI,Warm-Open,May,2014-05-26,903,Walleye,00: NONE,No Clip,17
2014,WI,Warm-Open,May,2014-05-26,903,Walleye,00: NONE,No Clip,19
2014,WI,Warm-Open,May,2014-05-26,903,Walleye,00: NONE,No Clip,21
2014,WI,Cold-Open,May,2014-05-26,903,Lake Trout,00: NONE,No Clip,28
2014,WI,Cold-Open,May,2014-05-30,903,Coho,00: NONE,No Clip,15.8
2014,WI,Cold-Open,May,2014-05-30,903,Coho,00: NONE,No Clip,14.7
2014,WI,Cold-Open,May,2014-05-30,903,Lake Trout,00: NONE,No Clip,23.5
2014,WI,Cold-Open,May,2014-05-30,903,Rainbow Trout,00: NONE,No Clip,27
2014,WI,Warm-Open,May,2014-05-30,903,Walleye,00: NONE,No Clip,23
2014,WI,Warm-Open,May,2014-05-30,903,Walleye,00: NONE,No Clip,23.5
2014,WI,Warm-Open,May,2014-05-30,905,Walleye,00: NONE,No Clip,18.5
2014,WI,Warm-Open,May,2014-05-30,905,Walleye,00: NONE,No Clip,17
2014,WI,Warm-Open,May,2014-05-30,905,Northern Pike,00: NONE,No Clip,22
2014,WI,Warm-Open,May,2014-05-30,905,Walleye,00: NONE,No Clip,23
2014,WI,Warm-Open,May,2014-05-31,903,Walleye,00: NONE,No Clip,18
2014,WI,Warm-Open,May,2014-05-31,903,Walleye,00: NONE,No Clip,19
2014,WI/MN,Cold-Open,May,2014-05-31,903,Lake Trout,00: NONE,No Clip,29
2014,WI,Cold-Open,May,2014-05-31,903,Coho,00: NONE,No Clip,15
2014,WI,Warm-Open,Jun,2014-06-01,903,Walleye,00: NONE,No Clip,17.8
2014,WI,Warm-Open,Jun,2014-06-01,903,Walleye,00: NONE,No Clip,19.8
2014,WI,Warm-Open,Jun,2014-06-01,903,Walleye,00: NONE,No Clip,18.2
2014,WI,Warm-Open,Jun,2014-06-01,903,Walleye,00: NONE,No Clip,17.2
2014,WI/MN,Warm-Open,Jun,2014-06-01,903,Walleye,00: NONE,No Clip,17.2
2014,WI/MN,Warm-Open,Jun,2014-06-01,903,Walleye,00: NONE,No Clip,15
2014,WI/MN,Warm-Open,Jun,2014-06-01,903,Walleye,00: NONE,No Clip,15
2014,WI/MN,Warm-Open,Jun,2014-06-01,903,Walleye,00: NONE,No Clip,20.2
2014,WI/MN,Warm-Open,Jun,2014-06-01,903,Walleye,00: NONE,No Clip,19.4
2014,WI/MN,Cold-Open,Jun,2014-06-01,903,Coho,00: NONE,No Clip,14.5
2014,WI/MN,Warm-Open,Jun,2014-06-01,903,Walleye,00: NONE,No Clip,16.5
2014,WI,Warm-Open,Jun,2014-06-03,903,Walleye,00: NONE,No Clip,18
2014,WI,Warm-Open,Jun,2014-06-03,903,Walleye,00: NONE,No Clip,17
2014,WI,Warm-Open,Jun,2014-06-03,903,Walleye,00: NONE,No Clip,17
2014,WI,Warm-Open,Jun,2014-06-03,903,Walleye,00: NONE,No Clip,17.5
2014,WI,Warm-Open,Jun,2014-06-03,903,Walleye,00: NONE,No Clip,18.5
2014,WI,Warm-Open,Jun,2014-06-03,903,Walleye,00: NONE,No Clip,22
2014,WI,Warm-Open,Jun,2014-06-03,903,Walleye,00: NONE,No Clip,19
2014,WI,Warm-Open,Jun,2014-06-03,903,Walleye,00: NONE,No Clip,18.8
