YEAR,STATE,FISHERY,MONTH,DATE,SITE,SPECIES,CLIP,CLIPPED,LEN
2014,WI,Cold-Open,May,2014-05-14,313,Brown Trout,01: AD,Clip,21.3
2014,WI,Cold-Open,May,2014-05-14,313,Coho,00: NONE,No Clip,15
2014,WI,Cold-Open,May,2014-05-14,313,Coho,00: NONE,No Clip,14.9
2014,WI,Cold-Open,May,2014-05-14,313,Brown Trout,00: NONE,No Clip,21.8
2014,WI,Shore,May,2014-05-14,313,Brown Trout,01: AD,Clip,26
2014,WI,Cold-Open,May,2014-05-14,313,Coho,00: NONE,No Clip,14.5
2014,WI,Cold-Open,May,2014-05-14,313,Coho,00: NONE,No Clip,14.8
2014,WI,Cold-Open,May,2014-05-14,313,Brown Trout,01: AD,Clip,19.5
2014,WI,Cold-Open,May,2014-05-14,313,Brown Trout,01: AD,Clip,20.2
2014,WI,Cold-Open,May,2014-05-14,313,Coho,00: NONE,No Clip,14.1
2014,WI,Cold-Open,May,2014-05-14,313,Coho,00: NONE,No Clip,15.6
2014,WI,Cold-Open,May,2014-05-14,313,Coho,00: NONE,No Clip,15.2
2014,WI,Cold-Open,May,2014-05-14,313,Coho,00: NONE,No Clip,14.2
2014,WI,Cold-Open,May,2014-05-14,313,Coho,00: NONE,No Clip,14.2
2014,WI,Cold-Open,May,2014-05-14,313,Coho,00: NONE,No Clip,14.9
2014,WI,Cold-Open,May,2014-05-14,313,Rainbow Trout,00: NONE,No Clip,14
2014,WI,Shore,May,2014-05-14,313,Brown Trout,01: AD,Clip,22.4
2014,WI,Cold-Open,May,2014-05-14,313,Coho,00: NONE,No Clip,16.8
2014,WI,Cold-Open,May,2014-05-14,313,Chinook,00: NONE,No Clip,19.4
2014,WI,Cold-Open,May,2014-05-14,313,Brown Trout,00: NONE,No Clip,21.2
2014,WI,Cold-Open,May,2014-05-14,313,Brown Trout,00: NONE,No Clip,21.9
2014,WI,Cold-Open,May,2014-05-15,313,Brown Trout,00: NONE,No Clip,21.8
2014,WI,Cold-Open,May,2014-05-15,313,Coho,00: NONE,No Clip,14.9
2014,WI,Cold-Open,May,2014-05-17,313,Coho,00: NONE,No Clip,15.8
2014,WI,Cold-Open,May,2014-05-17,313,Coho,00: NONE,No Clip,14.5
2014,WI,Cold-Open,May,2014-05-17,313,Coho,00: NONE,No Clip,15.1
2014,WI,Cold-Open,May,2014-05-17,313,Brown Trout,01: AD,Clip,24.6
