DATE,LAKE,ROUTE,MONTH,WEEK,WDAYn,WDAY,DAYTYPE,CREEL,SHIFT,DAILY_SCHED
2019-03-01,Superior,Corny-PW,Mar,1,5,Fri,WEEKDAY,YES,pm,1
2019-03-02,Superior,Corny-PW,Mar,1,6,Sat,WEEKEND,YES,am,2
2019-03-03,Superior,Corny-PW,Mar,1,7,Sun,WEEKEND,YES,am,3
2019-03-04,Superior,Corny-PW,Mar,2,1,Mon,WEEKDAY,NO,NA,
2019-03-05,Superior,Corny-PW,Mar,2,2,Tue,WEEKDAY,NO,NA,
2019-03-06,Superior,Corny-PW,Mar,2,3,Wed,WEEKDAY,YES,am,4
2019-03-07,Superior,Corny-PW,Mar,2,4,Thu,WEEKDAY,YES,pm,5
2019-03-08,Superior,Corny-PW,Mar,2,5,Fri,WEEKDAY,YES,am,6
2019-03-09,Superior,Corny-PW,Mar,2,6,Sat,WEEKEND,YES,am,7
2019-03-10,Superior,Corny-PW,Mar,2,7,Sun,WEEKEND,YES,am,8
2019-03-11,Superior,Corny-PW,Mar,3,1,Mon,WEEKDAY,YES,am,9
2019-03-12,Superior,Corny-PW,Mar,3,2,Tue,WEEKDAY,YES,pm,10
2019-03-13,Superior,Corny-PW,Mar,3,3,Wed,WEEKDAY,YES,am,11
2019-03-14,Superior,Corny-PW,Mar,3,4,Thu,WEEKDAY,NO,NA,
2019-03-15,Superior,Corny-PW,Mar,3,5,Fri,WEEKDAY,NO,NA,
2019-03-16,Superior,Corny-PW,Mar,3,6,Sat,WEEKEND,YES,pm,12
2019-03-17,Superior,Corny-PW,Mar,3,7,Sun,WEEKEND,YES,am,13
2019-03-18,Superior,Corny-PW,Mar,4,1,Mon,WEEKDAY,YES,pm,14
2019-03-19,Superior,Corny-PW,Mar,4,2,Tue,WEEKDAY,YES,pm,15
2019-03-20,Superior,Corny-PW,Mar,4,3,Wed,WEEKDAY,YES,pm,16
2019-03-21,Superior,Corny-PW,Mar,4,4,Thu,WEEKDAY,NO,NA,
2019-03-22,Superior,Corny-PW,Mar,4,5,Fri,WEEKDAY,NO,NA,
2019-03-23,Superior,Corny-PW,Mar,4,6,Sat,WEEKEND,YES,am,17
2019-03-24,Superior,Corny-PW,Mar,4,7,Sun,WEEKEND,YES,pm,18
