YEAR,ROUTE,WATERS,MUNIT,FISHERY,DAYTYPE,MONTH,PHOURS,SDPHOURS,PARTY,INDHRS,SDINDHRS,MTRIP,TRIPS,SDTRIPS,NINTS,HOURS,USSHOURS,VPHOURS,VINDHRS,VTRIPS
2014,Ashland,Wisconsin,WI-2,Open-Water Cold,Weekday,May,29.5113636363636,9.0377001874705,1,29.5113636363636,9.0377001874705,2.25,13.1161616161616,4.01675563887578,1,2.25,5.0625,81.6800246786043,81.6800246786043,16.1343258624403
2014,Ashland,Wisconsin,WI-2,Open-Water Cold,Weekday,All,29.5113636363636,9.0377001874705,1,29.5113636363636,9.0377001874705,2.25,13.1161616161616,4.01675563887578,1,2.25,5.0625,81.6800246786043,81.6800246786043,16.1343258624403
2014,Ashland,Wisconsin,WI-2,Open-Water Cold,Weekend,May,1098.77977145636,443.621274478399,1.77516141283707,1950.51145149526,787.499368367655,3.98939393939394,275.425237053246,111.200167548706,11,43.8833333333333,213.9575,196799.835169839,620155.255179455,12365.4772628603
2014,Ashland,Wisconsin,WI-2,Open-Water Cold,Weekend,All,1098.77977145636,443.621274478399,1.77516141283707,1950.51145149526,787.499368367655,3.98939393939394,275.425237053246,111.200167548706,11,43.8833333333333,213.9575,196799.835169839,620155.255179455,12365.4772628603
2014,Ashland,Wisconsin,WI-2,Open-Water Cold,All,May,1128.29113509272,443.71332546422,1.75488644158221,1980.02281513162,787.551227034873,3.91032669937754,288.541398669407,111.27269021967,12,46.1333333333333,219.02,196881.515194517,620236.935204134,12381.6115887227
2014,Ashland,Wisconsin,WI-2,Open-Water Cold,All,All,1128.29113509272,443.71332546422,1.75488644158221,1980.02281513162,787.551227034873,3.91032669937754,288.541398669407,111.27269021967,12,46.1333333333333,219.02,196881.515194517,620236.935204134,12381.6115887227
2014,Ashland,Wisconsin,WI-2,Open-Water Cool,Weekday,May,1451.08468013468,444.38706551429,2.23546248870142,3243.84537037037,993.410615421294,7.90238095238095,183.626262626263,56.2345789442609,14,110.633333333333,932.323333333333,197479.863996402,986864.650831714,3162.32786903831
2014,Ashland,Wisconsin,WI-2,Open-Water Cool,Weekday,All,1451.08468013468,444.38706551429,2.23546248870142,3243.84537037037,993.410615421294,7.90238095238095,183.626262626263,56.2345789442609,14,110.633333333333,932.323333333333,197479.863996402,986864.650831714,3162.32786903831
2014,Ashland,Wisconsin,WI-2,Open-Water Cool,Weekend,May,1760.63496231461,710.838646799986,1.77719838824366,3128.99761731097,1263.30129739424,3.90648148148148,450.695842450766,181.963910534246,18,70.3166666666667,300.781388888889,505291.581784436,1595930.16799797,33110.8647369152
2014,Ashland,Wisconsin,WI-2,Open-Water Cool,Weekend,All,1760.63496231461,710.838646799986,1.77719838824366,3128.99761731097,1263.30129739424,3.90648148148148,450.695842450766,181.963910534246,18,70.3166666666667,300.781388888889,505291.581784436,1595930.16799797,33110.8647369152
2014,Ashland,Wisconsin,WI-2,Open-Water Cool,All,May,3211.71964244929,838.314646049344,1.98424635309119,6372.84298768134,1607.10759404269,5.06323146669984,634.322105077028,190.455224674865,32,180.95,1233.10472222222,702771.445780837,2582794.81882968,36273.1926059535
2014,Ashland,Wisconsin,WI-2,Open-Water Cool,All,All,3211.71964244929,838.314646049344,1.98424635309119,6372.84298768134,1607.10759404269,5.06323146669984,634.322105077028,190.455224674865,32,180.95,1233.10472222222,702771.445780837,2582794.81882968,36273.1926059535
2014,Ashland,Wisconsin,WI-2,Pleasure,Weekday,May,77.6039562289562,23.7658041966817,2,155.207912457912,47.5316083933634,5.91666666666667,13.1161616161616,4.01675563887578,1,5.91666666666667,35.0069444444444,564.813449115012,2259.25379646005,16.1343258624403
2014,Ashland,Wisconsin,WI-2,Pleasure,Weekday,All,77.6039562289562,23.7658041966817,2,155.207912457912,47.5316083933634,5.91666666666667,13.1161616161616,4.01675563887578,1,5.91666666666667,35.0069444444444,564.813449115012,2259.25379646005,16.1343258624403
