YEAR,ROUTE,WATERS,MUNIT,FISHERY,DAYTYPE,MONTH,SPECIES,INDHRS,HARVEST,SDHARVEST,VHARVEST,HRATE
2014,Ashland,Wisconsin,WI-2,Open-Water Cold,Weekday,May,All Fish,29.5113636363636,0,,,0
2014,Ashland,Wisconsin,WI-2,Open-Water Cold,Weekday,All,All Fish,29.5113636363636,0,,,0
2014,Ashland,Wisconsin,WI-2,Open-Water Cold,Weekend,May,Brown Trout,1950.51145149526,225.347921225383,232.456283392019,54035.9236884309,0.115532734274711
2014,Ashland,Wisconsin,WI-2,Open-Water Cold,Weekend,May,Rainbow Trout,1950.51145149526,25.0386579139314,28.7580820330738,827.027282220999,0.0128369704749679
2014,Ashland,Wisconsin,WI-2,Open-Water Cold,Weekend,May,Coho Salmon,1950.51145149526,300.463894967177,197.074746598048,38838.4557466849,0.154043645699615
2014,Ashland,Wisconsin,WI-2,Open-Water Cold,Weekend,May,Northern Pike,1950.51145149526,25.0386579139314,28.0936913713953,789.255494871214,0.0128369704749679
2014,Ashland,Wisconsin,WI-2,Open-Water Cold,Weekend,May,All Fish,1950.51145149526,575.889132020423,446.343635455977,199222.640912058,0.295250320924262
2014,Ashland,Wisconsin,WI-2,Open-Water Cold,Weekend,All,Brown Trout,1950.51145149526,225.347921225383,232.456283392019,54035.9236884309,0.115532734274711
2014,Ashland,Wisconsin,WI-2,Open-Water Cold,Weekend,All,Rainbow Trout,1950.51145149526,25.0386579139314,28.7580820330738,827.027282220999,0.0128369704749679
2014,Ashland,Wisconsin,WI-2,Open-Water Cold,Weekend,All,Coho Salmon,1950.51145149526,300.463894967177,197.074746598048,38838.4557466849,0.154043645699615
2014,Ashland,Wisconsin,WI-2,Open-Water Cold,Weekend,All,Northern Pike,1950.51145149526,25.0386579139314,28.0936913713953,789.255494871214,0.0128369704749679
2014,Ashland,Wisconsin,WI-2,Open-Water Cold,Weekend,All,All Fish,1950.51145149526,575.889132020423,446.343635455977,199222.640912058,0.295250320924262
2014,Ashland,Wisconsin,WI-2,Open-Water Cold,All,May,Brown Trout,1950.51145149526,225.347921225383,232.456283392019,54035.9236884309,0.115532734274711
2014,Ashland,Wisconsin,WI-2,Open-Water Cold,All,May,Rainbow Trout,1950.51145149526,25.0386579139314,28.7580820330738,827.027282220999,0.0128369704749679
2014,Ashland,Wisconsin,WI-2,Open-Water Cold,All,May,Coho Salmon,1950.51145149526,300.463894967177,197.074746598048,38838.4557466849,0.154043645699615
2014,Ashland,Wisconsin,WI-2,Open-Water Cold,All,May,Northern Pike,1950.51145149526,25.0386579139314,28.0936913713953,789.255494871214,0.0128369704749679
2014,Ashland,Wisconsin,WI-2,Open-Water Cold,All,May,All Fish,1980.02281513162,575.889132020423,446.343635455977,199222.640912058,0.290849745578381
2014,Ashland,Wisconsin,WI-2,Open-Water Cold,All,All,Brown Trout,1950.51145149526,225.347921225383,232.456283392019,54035.9236884309,0.115532734274711
2014,Ashland,Wisconsin,WI-2,Open-Water Cold,All,All,Rainbow Trout,1950.51145149526,25.0386579139314,28.7580820330738,827.027282220999,0.0128369704749679
2014,Ashland,Wisconsin,WI-2,Open-Water Cold,All,All,Coho Salmon,1950.51145149526,300.463894967177,197.074746598048,38838.4557466849,0.154043645699615
2014,Ashland,Wisconsin,WI-2,Open-Water Cold,All,All,Northern Pike,1950.51145149526,25.0386579139314,28.0936913713953,789.255494871214,0.0128369704749679
2014,Ashland,Wisconsin,WI-2,Open-Water Cold,All,All,All Fish,1980.02281513162,575.889132020423,446.343635455977,199222.640912058,0.290849745578381
2014,Ashland,Wisconsin,WI-2,Open-Water Cool,Weekday,May,Coho Salmon,3243.84537037037,13.1161616161616,14.2931933665991,204.295376614992,0.00404339915088618
2014,Ashland,Wisconsin,WI-2,Open-Water Cool,Weekday,May,Walleye,3243.84537037037,131.161616161616,142.931933665991,20429.5376614992,0.0404339915088618
2014,Ashland,Wisconsin,WI-2,Open-Water Cool,Weekday,May,All Fish,3243.84537037037,144.277777777778,157.22512703259,24719.740570414,0.044477390659748
2014,Ashland,Wisconsin,WI-2,Open-Water Cool,Weekday,All,Coho Salmon,3243.84537037037,13.1161616161616,14.2931933665991,204.295376614992,0.00404339915088618
2014,Ashland,Wisconsin,WI-2,Open-Water Cool,Weekday,All,Walleye,3243.84537037037,131.161616161616,142.931933665991,20429.5376614992,0.0404339915088618
2014,Ashland,Wisconsin,WI-2,Open-Water Cool,Weekday,All,All Fish,3243.84537037037,144.277777777778,157.22512703259,24719.740570414,0.044477390659748
2014,Ashland,Wisconsin,WI-2,Open-Water Cool,Weekend,May,Walleye,3128.99761731097,75.1159737417943,66.1911572733584,4381.26930118646,0.0240064017071219
2014,Ashland,Wisconsin,WI-2,Open-Water Cool,Weekend,May,All Fish,3128.99761731097,75.1159737417943,66.1911572733584,4381.26930118646,0.0240064017071219
2014,Ashland,Wisconsin,WI-2,Open-Water Cool,Weekend,All,Walleye,3128.99761731097,75.1159737417943,66.1911572733584,4381.26930118646,0.0240064017071219
2014,Ashland,Wisconsin,WI-2,Open-Water Cool,Weekend,All,All Fish,3128.99761731097,75.1159737417943,66.1911572733584,4381.26930118646,0.0240064017071219
2014,Ashland,Wisconsin,WI-2,Open-Water Cool,All,May,Coho Salmon,3243.84537037037,13.1161616161616,14.2931933665991,204.295376614992,0.00404339915088618
2014,Ashland,Wisconsin,WI-2,Open-Water Cool,All,May,Walleye,6372.84298768134,206.277589903411,157.514465883885,24810.8069626856,0.0323682209497619
2014,Ashland,Wisconsin,WI-2,Open-Water Cool,All,May,All Fish,6372.84298768134,219.393751519572,170.590181052722,29101.0098716005,0.0344263544455212
2014,Ashland,Wisconsin,WI-2,Open-Water Cool,All,All,Coho Salmon,3243.84537037037,13.1161616161616,14.2931933665991,204.295376614992,0.00404339915088618
2014,Ashland,Wisconsin,WI-2,Open-Water Cool,All,All,Walleye,6372.84298768134,206.277589903411,157.514465883885,24810.8069626856,0.0323682209497619
2014,Ashland,Wisconsin,WI-2,Open-Water Cool,All,All,All Fish,6372.84298768134,219.393751519572,170.590181052722,29101.0098716005,0.0344263544455212
2014,Ashland,Wisconsin,WI-2,Pleasure,Weekday,May,All Fish,155.207912457912,0,,,0
2014,Ashland,Wisconsin,WI-2,Pleasure,Weekday,All,All Fish,155.207912457912,0,,,0
2014,Ashland,Wisconsin,WI-2,Pleasure,Weekend,May,All Fish,977.34228057379,0,0,0,0
2014,Ashland,Wisconsin,WI-2,Pleasure,Weekend,All,All Fish,977.34228057379,0,0,0,0
2014,Ashland,Wisconsin,WI-2,Pleasure,All,May,All Fish,1132.5501930317,0,0,0,0
2014,Ashland,Wisconsin,WI-2,Pleasure,All,All,All Fish,1132.5501930317,0,0,0,0
2014,Ashland,Wisconsin,WI-2,All,Weekday,May,Coho Salmon,3243.84537037037,13.1161616161616,14.2931933665991,204.295376614992,0.00404339915088618
2014,Ashland,Wisconsin,WI-2,All,Weekday,May,Walleye,3243.84537037037,131.161616161616,142.931933665991,20429.5376614992,0.0404339915088618
2014,Ashland,Wisconsin,WI-2,All,Weekday,May,All Fish,3428.56464646465,144.277777777778,157.22512703259,24719.740570414,0.0420811017597552
2014,Ashland,Wisconsin,WI-2,All,Weekday,All,Coho Salmon,3243.84537037037,13.1161616161616,14.2931933665991,204.295376614992,0.00404339915088618
2014,Ashland,Wisconsin,WI-2,All,Weekday,All,Walleye,3243.84537037037,131.161616161616,142.931933665991,20429.5376614992,0.0404339915088618
2014,Ashland,Wisconsin,WI-2,All,Weekday,All,All Fish,3428.56464646465,144.277777777778,157.22512703259,24719.740570414,0.0420811017597552
2014,Ashland,Wisconsin,WI-2,All,Weekend,May,Brown Trout,1950.51145149526,225.347921225383,232.456283392019,54035.9236884309,0.115532734274711
2014,Ashland,Wisconsin,WI-2,All,Weekend,May,Rainbow Trout,1950.51145149526,25.0386579139314,28.7580820330738,827.027282220999,0.0128369704749679
2014,Ashland,Wisconsin,WI-2,All,Weekend,May,Coho Salmon,1950.51145149526,300.463894967177,197.074746598048,38838.4557466849,0.154043645699615
2014,Ashland,Wisconsin,WI-2,All,Weekend,May,Walleye,3128.99761731097,75.1159737417943,66.1911572733584,4381.26930118646,0.0240064017071219
2014,Ashland,Wisconsin,WI-2,All,Weekend,May,Northern Pike,1950.51145149526,25.0386579139314,28.0936913713953,789.255494871214,0.0128369704749679
2014,Ashland,Wisconsin,WI-2,All,Weekend,May,All Fish,6056.85134938001,651.005105762217,451.224899815208,203603.910213245,0.107482430756511
2014,Ashland,Wisconsin,WI-2,All,Weekend,All,Brown Trout,1950.51145149526,225.347921225383,232.456283392019,54035.9236884309,0.115532734274711
2014,Ashland,Wisconsin,WI-2,All,Weekend,All,Rainbow Trout,1950.51145149526,25.0386579139314,28.7580820330738,827.027282220999,0.0128369704749679
2014,Ashland,Wisconsin,WI-2,All,Weekend,All,Coho Salmon,1950.51145149526,300.463894967177,197.074746598048,38838.4557466849,0.154043645699615
2014,Ashland,Wisconsin,WI-2,All,Weekend,All,Walleye,3128.99761731097,75.1159737417943,66.1911572733584,4381.26930118646,0.0240064017071219
2014,Ashland,Wisconsin,WI-2,All,Weekend,All,Northern Pike,1950.51145149526,25.0386579139314,28.0936913713953,789.255494871214,0.0128369704749679
2014,Ashland,Wisconsin,WI-2,All,Weekend,All,All Fish,6056.85134938001,651.005105762217,451.224899815208,203603.910213245,0.107482430756511
2014,Ashland,Wisconsin,WI-2,All,All,May,Brown Trout,1950.51145149526,225.347921225383,232.456283392019,54035.9236884309,0.115532734274711
2014,Ashland,Wisconsin,WI-2,All,All,May,Rainbow Trout,1950.51145149526,25.0386579139314,28.7580820330738,827.027282220999,0.0128369704749679
2014,Ashland,Wisconsin,WI-2,All,All,May,Coho Salmon,5194.35682186563,313.580056583339,197.592386298916,39042.7511232999,0.0603693714808587
2014,Ashland,Wisconsin,WI-2,All,All,May,Walleye,6372.84298768134,206.277589903411,157.514465883885,24810.8069626856,0.0323682209497619
2014,Ashland,Wisconsin,WI-2,All,All,May,Northern Pike,1950.51145149526,25.0386579139314,28.0936913713953,789.255494871214,0.0128369704749679
2014,Ashland,Wisconsin,WI-2,All,All,May,All Fish,9485.41599584466,795.282883539995,477.832241255923,228323.650783659,0.0838426995598706
2014,Ashland,Wisconsin,WI-2,All,All,All,Brown Trout,1950.51145149526,225.347921225383,232.456283392019,54035.9236884309,0.115532734274711
2014,Ashland,Wisconsin,WI-2,All,All,All,Rainbow Trout,1950.51145149526,25.0386579139314,28.7580820330738,827.027282220999,0.0128369704749679
2014,Ashland,Wisconsin,WI-2,All,All,All,Coho Salmon,5194.35682186563,313.580056583339,197.592386298916,39042.7511232999,0.0603693714808587
2014,Ashland,Wisconsin,WI-2,All,All,All,Walleye,6372.84298768134,206.277589903411,157.514465883885,24810.8069626856,0.0323682209497619
2014,Ashland,Wisconsin,WI-2,All,All,All,Northern Pike,1950.51145149526,25.0386579139314,28.0936913713953,789.255494871214,0.0128369704749679
2014,Ashland,Wisconsin,WI-2,All,All,All,All Fish,9485.41599584466,795.282883539995,477.832241255923,228323.650783659,0.0838426995598706
