SURVEY,ROUTE,UNIT,FISHERY,MONTH,DATE,SITE,SPECIES,CLIP,ORIGIN,LENGTH
2019,Ashland,WI-2,< 60 ft - Shallow,Dec,2018-12-30,289-Maslowski Beach,Brown Trout,Native,Native,22.2
2019,Ashland,WI-2,< 60 ft - Shallow,Dec,2018-12-31,258-Kreher Park,Brown Trout,Adipose,Hatchery,23.3
2019,Ashland,WI-2,< 60 ft - Shallow,Dec,2018-12-30,289-Maslowski Beach,Brown Trout,Native,Native,23.8
2019,Ashland,WI-2,< 60 ft - Shallow,Dec,2018-12-30,289-Maslowski Beach,Brown Trout,Adipose,Hatchery,24.8
2019,Ashland,WI-2,< 60 ft - Shallow,Dec,2018-12-30,247-11th Ave E. / Water St.,Brown Trout,Native,Native,28.4
2019,Ashland,WI-2,< 60 ft - Shallow,Dec,2018-12-30,247-11th Ave E. / Water St.,Brown Trout,Adipose,Hatchery,29.9
2019,Ashland,WI-2,Tribal,Dec,2018-12-30,289-Maslowski Beach,Brown Trout,Native,Native,17.5
2019,Ashland,WI-2,Tribal,Dec,2018-12-30,289-Maslowski Beach,Coho Salmon,,Native,14.5
2019,Ashland,WI-2,< 60 ft - Shallow,Dec,2018-12-23,247-11th Ave E. / Water St.,Lake Herring,,Native,18.3
2019,Ashland,WI-2,< 60 ft - Shallow,Dec,2018-12-29,234-Angler's All,Lake Whitefish,,Native,16.8
2019,Ashland,WI-2,< 60 ft - Shallow,Dec,2018-12-29,234-Angler's All,Lake Whitefish,,Native,17.2
2019,Ashland,WI-2,< 60 ft - Shallow,Dec,2018-12-21,234-Angler's All,Lake Whitefish,,Native,19
2019,Ashland,WI-2,< 60 ft - Shallow,Dec,2018-12-24,234-Angler's All,Lake Whitefish,,Native,19.8
2019,Ashland,WI-2,< 60 ft - Shallow,Dec,2018-12-24,234-Angler's All,Lake Whitefish,,Native,20.2
2019,Ashland,WI-2,< 60 ft - Shallow,Dec,2018-12-21,234-Angler's All,Lake Whitefish,,Native,20.7
2019,Ashland,WI-2,< 60 ft - Shallow,Dec,2018-12-21,234-Angler's All,Lake Whitefish,,Native,21.1
2019,Ashland,WI-2,< 60 ft - Shallow,Dec,2018-12-21,234-Angler's All,Lake Whitefish,,Native,21.3
2019,Ashland,WI-2,< 60 ft - Shallow,Dec,2018-12-21,234-Angler's All,Lake Whitefish,,Native,21.3
2019,Ashland,WI-2,< 60 ft - Shallow,Dec,2018-12-24,234-Angler's All,Lake Whitefish,,Native,21.5
2019,Ashland,WI-2,< 60 ft - Shallow,Dec,2018-12-23,289-Maslowski Beach,Northern Pike,,Native,34
2019,Ashland,WI-2,< 60 ft - Shallow,Dec,2018-12-27,256-Reiss Coal Dock,Smallmouth Bass,,Native,18.2
2019,Ashland,WI-2,< 60 ft - Shallow,Dec,2018-12-29,247-11th Ave E. / Water St.,Splake,Adipose,Hatchery,16.3
2019,Ashland,WI-2,< 60 ft - Shallow,Dec,2018-12-30,289-Maslowski Beach,Splake,Adipose,Hatchery,18.4
2019,Ashland,WI-2,< 60 ft - Shallow,Dec,2018-12-30,289-Maslowski Beach,Splake,Adipose,Hatchery,18.5
2019,Ashland,WI-2,< 60 ft - Shallow,Dec,2018-12-30,289-Maslowski Beach,Splake,Adipose,Hatchery,19
2019,Ashland,WI-2,< 60 ft - Shallow,Dec,2018-12-31,258-Kreher Park,Splake,Adipose,Hatchery,19
