MONTH,DAY,YEAR,STARTMM,STARTHH,STOPMM,STOPHH,COUNT,DAYTYPE,SITE
5,16,2014,0,7,6,7,0,1,270
5,16,2014,10,7,4,8,0,1,297
5,16,2014,20,8,38,10,3.6,1,204
5,16,2014,46,10,3,11,1,1,234
5,16,2014,8,11,26,13,0,1,258
5,16,2014,30,13,0,14,0,1,270
5,18,2014,0,14,2,14,0,2,234
5,18,2014,10,14,28,16,10.11,2,204
5,18,2014,21,17,38,17,0,2,297
5,18,2014,42,17,18,18,0,2,270
5,18,2014,22,18,40,20,2.09,2,258
5,18,2014,45,20,0,21,0.33,2,234
5,22,2014,0,14,5,15,2.82,1,258
5,22,2014,10,15,27,15,1.24,1,234
5,22,2014,35,15,53,17,7.28,1,204
5,22,2014,46,18,3,19,0.36,1,297
5,22,2014,7,19,43,19,0,1,270
5,22,2014,47,19,0,21,1,1,258
5,24,2014,0,7,6,7,25,2,204
5,24,2014,14,7,31,7,2,2,234
5,24,2014,36,7,54,9,4.92,2,258
5,24,2014,58,9,34,10,0,2,270
5,24,2014,38,10,32,11,0,2,297
5,24,2014,48,11,0,14,37.76,2,204
5,26,2014,0,7,11,9,6.96,2,258
5,26,2014,16,9,33,9,3,2,234
5,26,2014,41,9,59,11,27.63,2,204
5,26,2014,52,12,9,13,0.3,2,297
5,26,2014,13,13,49,13,0.5,2,270
5,26,2014,53,13,0,14,2,2,258
5,30,2014,0,14,13,14,0,1,270
5,30,2014,17,14,35,16,2.81,1,258
5,30,2014,40,16,57,16,1.41,1,234
5,30,2014,5,17,23,19,9.05,1,204
5,30,2014,16,20,33,20,1,1,297
5,30,2014,37,20,0,21,1.82,1,270
6,1,2014,0,7,10,9,6.92,2,204
6,1,2014,18,9,35,9,0,2,234
6,1,2014,40,9,58,11,4.17,2,258
6,1,2014,2,12,38,12,1,2,270
6,1,2014,42,12,36,13,1.25,2,297
6,1,2014,52,13,0,14,10,2,204
6,6,2014,0,7,3,7,16,1,204
6,6,2014,11,7,28,7,1,1,234
6,6,2014,33,7,51,9,4.44,1,258
6,6,2014,55,9,31,10,2.5,1,270
6,6,2014,35,10,39,11,2.77,1,297
6,6,2014,45,11,0,14,38.06,1,204
6,7,2014,0,14,26,14,2,2,270
6,7,2014,30,14,48,16,5.4,2,258
6,7,2014,53,16,10,17,0,2,234
6,7,2014,18,17,36,19,25.52,2,204
6,7,2014,29,20,46,20,4,2,297
6,7,2014,50,20,0,21,3,2,270
6,9,2014,0,14,47,15,3.51,1,258
6,9,2014,52,15,9,16,0,1,234
6,9,2014,17,16,35,18,19.6,1,204
6,9,2014,28,19,45,19,1,1,297
6,9,2014,49,19,25,20,0,1,270
6,9,2014,29,20,0,21,1,1,258
6,12,2014,0,7,13,9,1.99,1,204
6,12,2014,6,10,23,10,0,1,297
6,12,2014,27,10,3,11,0,1,270
6,12,2014,7,11,25,13,0,1,258
6,12,2014,30,13,47,13,0,1,234
6,12,2014,55,13,0,14,1,1,204
6,14,2014,0,14,16,14,14.57,2,204
6,14,2014,9,15,26,15,0.53,2,297
6,14,2014,30,15,6,16,0,2,270
6,14,2014,10,16,28,18,0,2,258
6,14,2014,33,18,50,18,0,2,234
6,14,2014,58,18,0,21,1.91,2,204
6,18,2014,0,7,52,7,0,1,258
6,18,2014,57,7,14,8,0,1,234
6,18,2014,22,8,40,10,3.41,1,204
6,18,2014,33,11,50,11,0,1,297
6,18,2014,54,11,30,12,0,1,270
6,18,2014,34,12,0,14,0,1,258
6,20,2014,0,14,25,14,10.8,1,204
6,20,2014,18,15,35,15,0,1,297
6,20,2014,39,15,15,16,0,1,270
6,20,2014,19,16,37,18,2.23,1,258
6,20,2014,42,18,59,18,0,1,234
6,20,2014,7,19,0,21,4.05,1,204
6,22,2014,0,14,34,14,22,2,204
6,22,2014,27,15,44,15,0.18,2,297
6,22,2014,48,15,24,16,0,2,270
6,22,2014,28,16,46,18,4.45,2,258
6,22,2014,51,18,8,19,2,1,234
6,22,2014,16,19,0,21,2.5,2,204
6,26,2014,0,14,14,15,14,1,204
6,26,2014,7,16,24,16,1,1,297
6,26,2014,28,16,4,17,0,1,270
6,26,2014,8,17,26,19,1.33,1,258
6,26,2014,31,19,48,19,1,1,234
6,26,2014,56,19,0,21,3.07,1,204
6,29,2014,0,7,15,8,0.74,2,258
6,29,2014,19,8,55,8,0,2,270
6,29,2014,59,8,53,9,0,2,297
6,29,2014,9,10,27,12,2,2,204
6,29,2014,35,12,52,12,0,2,234
6,29,2014,57,12,0,14,2.51,2,258
7,2,2014,0,14,9,14,7,1,204
7,2,2014,2,15,19,15,1,1,297
7,2,2014,23,15,41,15,1,1,270
7,2,2014,45,15,12,18,4.76,1,258
7,2,2014,17,18,34,18,1,1,234
7,2,2014,42,18,0,21,7.37,1,204
7,4,2014,0,7,30,7,8.52,2,258
7,4,2014,34,7,52,7,2,2,270
7,4,2014,56,7,50,8,0.23,2,297
7,4,2014,6,9,33,11,25.55,2,204
7,4,2014,41,11,58,11,1,2,234
7,4,2014,3,12,0,14,17.65,2,258
7,6,2014,0,7,15,8,7.24,2,258
7,6,2014,19,8,37,8,0,2,270
7,6,2014,41,8,35,9,1,2,297
7,6,2014,51,9,18,12,8.86,2,204
7,6,2014,26,12,43,12,4,2,234
7,6,2014,48,12,0,14,12.66,2,258
7,7,2014,0,7,57,7,5,1,204
7,7,2014,50,8,7,9,0,1,297
7,7,2014,11,9,29,9,0.33,1,270
7,7,2014,33,9,0,12,3.04,1,258
7,7,2014,5,12,22,12,1,1,234
7,7,2014,30,12,0,14,8.72,1,204
