MONTH,DAY,YEAR,STARTMM,STARTHH,STOPMM,STOPHH,COUNT,DAYTYPE,SITE
5,21,2014,20,8,52,9,0,1,905
5,21,2014,2,10,30,13,0,1,903
5,21,2014,30,13,1,14,0,1,903
5,21,2014,11,14,43,15,0.74,1,905
5,22,2014,29,13,40,14,2,1,905
5,22,2014,47,14,57,20,0.77,1,903
5,22,2014,5,21,30,21,0,1,905
5,23,2014,28,5,35,5,0,1,905
5,23,2014,42,5,53,11,0.32,1,903
5,23,2014,2,12,30,13,1,1,905
5,24,2014,30,13,0,15,7.84,2,905
5,24,2014,12,15,18,21,5.55,2,903
5,24,2014,27,21,30,21,1,2,905
5,25,2014,31,5,21,8,1.58,2,903
5,25,2014,30,8,3,10,1.89,2,905
5,25,2014,12,10,30,13,5.09,2,903
5,26,2014,32,5,35,7,0.65,2,903
5,26,2014,45,7,18,9,1.51,2,905
5,26,2014,25,9,31,13,7.96,2,903
5,27,2014,31,13,33,16,2.04,1,903
5,27,2014,42,16,15,18,0,1,905
5,27,2014,23,18,30,21,0.63,1,903
5,30,2014,30,5,27,6,0,1,905
5,30,2014,36,6,45,12,11.3,1,903
5,30,2014,56,12,30,13,1.06,1,905
5,31,2014,30,13,56,13,1,2,905
5,31,2014,6,14,14,20,2.61,2,903
5,31,2014,24,20,30,21,2,2,905
6,1,2014,35,13,10,15,8.19,2,903
6,1,2014,18,15,52,16,3.34,2,905
6,1,2014,2,17,30,21,3.89,2,903
6,2,2014,30,5,18,7,0,1,903
6,2,2014,28,7,0,9,0,1,905
6,2,2014,10,9,30,13,0.73,1,903
6,3,2014,29,13,1,14,2.34,1,903
6,3,2014,7,14,43,15,1.96,1,905
6,3,2014,53,15,30,21,6.04,1,903
6,4,2014,26,5,2,7,3.29,1,905
6,4,2014,10,7,20,13,20.86,1,903
6,7,2014,30,13,58,14,17.7,2,905
6,7,2014,8,15,16,21,14.75,2,903
6,7,2014,25,21,30,21,9,2,905
6,8,2014,30,5,15,8,34.7,2,903
6,8,2014,25,8,57,9,31.32,2,905
6,8,2014,7,10,30,13,61.88,2,903
6,9,2014,30,13,48,17,7.91,1,903
6,9,2014,57,17,29,19,6.85,1,905
6,9,2014,39,19,30,21,1.88,1,903
6,10,2014,29,5,46,5,3,1,903
6,10,2014,51,5,28,7,3.41,1,905
6,10,2014,35,7,30,13,17.66,1,903
6,13,2014,28,13,48,18,19.99,1,903
6,13,2014,56,18,30,20,17.95,1,905
6,13,2014,40,20,30,21,10.7,1,903
6,14,2014,29,13,33,18,5.1,2,903
6,14,2014,43,18,15,20,2.14,2,905
6,14,2014,25,20,30,21,0,2,903
6,15,2014,29,5,48,8,0,2,903
6,15,2014,56,8,30,10,0,2,905
6,15,2014,40,10,30,13,0,2,903
6,16,2014,36,13,8,15,16.3,1,905
6,16,2014,17,15,30,21,7.05,1,903
6,19,2014,32,5,58,6,0,1,903
6,19,2014,6,7,40,8,0,1,905
6,19,2014,47,8,30,13,0,1,903
6,20,2014,29,13,6,18,2.79,1,903
6,20,2014,15,18,48,19,1.56,1,905
6,20,2014,58,19,30,21,0,1,903
6,21,2014,29,5,35,5,0,2,903
6,21,2014,43,5,17,7,1.72,2,905
6,21,2014,26,7,30,13,22.51,2,903
6,22,2014,30,13,28,16,7.32,2,903
6,22,2014,35,16,10,18,1.75,2,905
6,22,2014,20,18,30,21,0.76,2,903
6,25,2014,31,5,52,7,0.72,1,903
6,25,2014,59,7,34,9,2.31,1,905
6,25,2014,42,9,30,13,4.01,1,903
6,26,2014,29,13,46,14,2.13,1,905
6,26,2014,55,14,4,21,4.51,1,903
6,26,2014,23,21,30,21,0,1,905
6,27,2014,30,5,27,6,0,1,905
6,27,2014,35,6,45,12,3.48,1,903
6,27,2014,52,12,30,13,0,1,905
6,28,2014,30,5,40,5,1,2,905
6,28,2014,50,5,58,11,4.01,2,903
6,28,2014,9,12,30,13,1.46,2,905
6,29,2014,30,13,30,18,1.62,2,903
6,29,2014,40,18,12,20,0,2,905
6,29,2014,20,20,30,21,0,2,903
6,30,2014,29,5,35,5,0,1,905
6,30,2014,42,5,33,11,1.74,1,903
6,30,2014,0,12,30,13,1.26,1,905
7,3,2014,30,13,23,19,9.46,1,903
7,3,2014,30,19,5,21,13.58,1,905
7,3,2014,15,21,30,21,11.07,1,903
7,4,2014,32,5,10,8,16.72,2,903
7,4,2014,18,8,52,9,11.93,2,905
7,4,2014,2,10,30,13,39.33,2,903
7,5,2014,3,5,2,7,2.51,2,905
7,5,2014,12,7,30,13,8.58,2,903
7,6,2014,29,13,33,16,15.37,2,903
7,6,2014,43,16,15,18,8.38,2,905
7,6,2014,22,18,30,21,4.48,2,903
7,7,2014,30,13,10,15,5.68,1,903
7,7,2014,30,15,52,16,5.15,1,905
7,7,2014,5,17,30,21,3.13,1,903
7,8,2014,30,5,15,8,2.6,1,903
7,8,2014,23,8,57,9,0,1,905
7,8,2014,5,10,30,21,1.93,1,903
7,11,2014,35,13,33,18,5.29,1,903
7,11,2014,39,18,15,20,1,1,905
7,11,2014,25,20,30,21,1.38,1,903
