MONTH,DAY,YEAR,STARTMM,STARTHH,STOPMM,STOPHH,COUNT,DAYTYPE,SITE
5,14,2014,0,14,0,21,3.94,1,313
5,15,2014,0,7,0,14,4.67,1,313
5,17,2014,0,14,0,21,12.4,2,313
5,21,2014,0,7,0,14,8.76,1,313
5,23,2014,0,14,0,21,6.63,1,313
5,25,2014,0,7,0,14,20.4,2,313
5,29,2014,0,7,0,14,14.08,1,313
5,31,2014,0,14,0,21,8.04,2,313
6,4,2014,0,14,0,21,2.97,2,313
6,5,2014,0,7,0,14,10.18,1,313
6,8,2014,0,14,0,21,6.22,2,313
6,13,2014,0,7,0,14,9.24,1,313
6,15,2014,0,7,0,14,0.63,2,313
6,19,2014,0,14,0,21,1.9,1,313
6,21,2014,0,14,0,21,8,2,313
6,23,2014,0,7,0,14,5.66,1,313
6,27,2014,0,14,0,21,5.01,1,313
6,28,2014,0,7,0,14,12.36,2,313
7,3,2014,0,14,0,21,13.25,1,313
7,5,2014,0,7,0,14,22.19,2,313
7,10,2014,0,7,0,14,8.52,1,313
7,13,2014,0,14,0,21,3.8,2,313
7,16,2014,0,7,0,14,12.15,1,313
7,18,2014,0,14,0,21,4.12,1,313
7,20,2014,0,7,0,14,16.54,2,313
7,21,2014,0,14,0,21,2.55,1,313
7,25,2014,0,7,0,14,7.97,1,313
7,26,2014,0,14,0,21,30.61,2,313
7,30,2014,0,14,0,21,6.25,1,313
7,31,2014,0,7,0,21,18.17,1,313
8,2,2014,0,7,0,14,23.05,2,313
8,7,2014,0,7,0,14,6.48,1,313
8,8,2014,0,14,0,21,15.64,1,313
8,10,2014,0,14,0,21,4.12,2,313
8,13,2014,0,7,0,14,6.69,1,313
8,16,2014,0,14,0,21,7.19,2,313
8,18,2014,0,7,0,14,2.31,1,313
8,21,2014,0,14,0,21,2.48,1,313
8,24,2014,0,7,0,14,10.78,2,313
8,29,2014,0,7,0,14,2.94,1,313
8,31,2014,0,14,0,21,17.97,2,313
9,1,2014,0,7,0,14,4.31,2,313
9,7,2014,0,7,0,14,12.77,2,313
9,13,2014,0,7,0,14,15.67,2,313
9,15,2014,0,14,0,20,6.51,1,313
9,19,2014,0,7,0,14,5.03,1,313
9,21,2014,0,14,0,20,4.48,2,313
9,25,2014,0,7,0,14,12.15,1,313
9,27,2014,0,14,0,20,23.59,2,313
9,30,2014,0,14,0,20,2.3,1,313
